Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type
58,722,2023-01-03 09:00:00,4970.0,Purchase
59,584,2023-01-03 10:00:00,798.0,Loan Payment
60,736,2023-01-03 11:00:00,1881.0,Loan Payment
61,539,2023-01-03 12:00:00,4600.0,Purchase
62,640,2023-01-03 13:00:00,2035.0,Investment
63,106,2023-01-03 14:00:00,2456.0,Loan Payment
64,165,2023-01-03 15:00:00,4833.0,Loan Payment
65,215,2023-01-03 16:00:00,570.0,Bill Payment
66,71,2023-01-03 17:00:00,2661.0,Loan Payment
67,716,2023-01-03 18:00:00,3914.0,Loan Payment
68,665,2023-01-03 19:00:00,549.0,Investment
69,579,2023-01-03 20:00:00,4765.0,Loan Payment
70,90,2023-01-03 21:00:00,3146.0,Investment
71,772,2023-01-03 22:00:00,3299.0,Bill Payment
72,874,2023-01-03 23:00:00,2620.0,Purchase
73,228,2023-01-04 00:00:00,4922.0,Bill Payment
74,79,2023-01-04 01:00:00,1954.0,Investment
75,608,2023-01-04 02:00:00,3155.0,Investment
76,349,2023-01-04 03:00:00,2768.0,Loan Payment
77,842,2023-01-04 04:00:00,3270.0,Loan Payment
78,981,2023-01-04 05:00:00,4117.0,Purchase
79,894,2023-01-04 06:00:00,1905.0,Investment
80,246,2023-01-04 07:00:00,2510.0,Investment
81,272,2023-01-04 08:00:00,2839.0,Bill Payment
82,403,2023-01-04 09:00:00,3883.0,Purchase
83,669,2023-01-04 10:00:00,57.0,Bill Payment
84,116,2023-01-04 11:00:00,2374.0,Loan Payment
85,435,2023-01-04 12:00:00,2266.0,Loan Payment
86,530,2023-01-04 13:00:00,4682.0,Bill Payment
87,442,2023-01-04 14:00:00,763.0,Loan Payment
88,172,2023-01-04 15:00:00,2812.0,Bill Payment
89,16,2023-01-04 16:00:00,4659.0,Investment
90,961,2023-01-04 17:00:00,3662.0,Investment
91,752,2023-01-04 18:00:00,412.0,Loan Payment
92,898,2023-01-04 19:00:00,2096.0,Purchase
93,56,2023-01-04 20:00:00,2237.0,Investment
94,591,2023-01-04 21:00:00,3420.0,Loan Payment
95,103,2023-01-04 22:00:00,3000.0,Purchase
96,284,2023-01-04 23:00:00,4653.0,Loan Payment
97,705,2023-01-05 00:00:00,1159.0,Bill Payment
98,517,2023-01-05 01:00:00,72.0,Loan Payment
99,618,2023-01-05 02:00:00,4949.0,Bill Payment
100,278,2023-01-05 03:00:00,3163.0,Investment
101,885,2023-01-05 04:00:00,1018.0,Investment
102,612,2023-01-05 05:00:00,2041.0,Loan Payment
103,750,2023-01-05 06:00:00,1332.0,Purchase
104,269,2023-01-05 07:00:00,2091.0,Loan Payment
105,833,2023-01-05 08:00:00,761.0,Loan Payment
106,400,2023-01-05 09:00:00,4154.0,Investment
107,503,2023-01-05 10:00:00,667.0,Investment
108,86,2023-01-05 11:00:00,1670.0,Loan Payment
109,320,2023-01-05 12:00:00,710.0,Investment
110,32,2023-01-05 13:00:00,1090.0,Bill Payment
111,336,2023-01-05 14:00:00,2166.0,Loan Payment
112,51,2023-01-05 15:00:00,1550.0,Investment
113,79,2023-01-05 16:00:00,3042.0,Loan Payment
114,698,2023-01-05 17:00:00,1993.0,Investment
115,174,2023-01-05 18:00:00,324.0,Bill Payment
116,948,2023-01-05 19:00:00,3091.0,Bill Payment
117,618,2023-01-05 20:00:00,4743.0,Loan Payment
118,501,2023-01-05 21:00:00,2324.0,Bill Payment
119,575,2023-01-05 22:00:00,2145.0,Bill Payment
120,76,2023-01-05 23:00:00,1659.0,Investment
121,316,2023-01-06 00:00:00,3229.0,Loan Payment
122,833,2023-01-06 01:00:00,3810.0,Investment
123,373,2023-01-06 02:00:00,2488.0,Investment
124,81,2023-01-06 03:00:00,4077.0,Purchase
125,873,2023-01-06 04:00:00,1785.0,Bill Payment
126,640,2023-01-06 05:00:00,1976.0,Investment
127,695,2023-01-06 06:00:00,1777.0,Investment
128,755,2023-01-06 07:00:00,3825.0,Investment
129,697,2023-01-06 08:00:00,251.0,Bill Payment
130,732,2023-01-06 09:00:00,4807.0,Bill Payment
131,71,2023-01-06 10:00:00,2959.0,Bill Payment
132,969,2023-01-06 11:00:00,4846.0,Loan Payment
133,854,2023-01-06 12:00:00,4886.0,Investment
134,666,2023-01-06 13:00:00,2266.0,Bill Payment
135,757,2023-01-06 14:00:00,4121.0,Investment
136,652,2023-01-06 15:00:00,3378.0,Loan Payment
137,71,2023-01-06 16:00:00,376.0,Purchase
138,46,2023-01-06 17:00:00,2837.0,Loan Payment
139,47,2023-01-06 18:00:00,1262.0,Bill Payment
140,591,2023-01-06 19:00:00,2497.0,Bill Payment
141,422,2023-01-06 20:00:00,4795.0,Loan Payment
142,149,2023-01-06 21:00:00,3613.0,Investment
143,910,2023-01-06 22:00:00,3531.0,Bill Payment
144,130,2023-01-06 23:00:00,4952.0,Bill Payment
145,456,2023-01-07 00:00:00,4527.0,Loan Payment
146,639,2023-01-07 01:00:00,1653.0,Investment
147,877,2023-01-07 02:00:00,1222.0,Loan Payment
148,631,2023-01-07 03:00:00,4713.0,Loan Payment
149,966,2023-01-07 04:00:00,29.0,Investment
150,997,2023-01-07 05:00:00,685.0,Investment
151,869,2023-01-07 06:00:00,4487.0,Purchase
152,505,2023-01-07 07:00:00,618.0,Loan Payment
153,929,2023-01-07 08:00:00,71.0,Investment
154,774,2023-01-07 09:00:00,1275.0,Bill Payment
155,244,2023-01-07 10:00:00,2295.0,Purchase
156,474,2023-01-07 11:00:00,1164.0,Loan Payment
157,382,2023-01-07 12:00:00,1638.0,Investment
158,103,2023-01-07 13:00:00,1636.0,Purchase
159,489,2023-01-07 14:00:00,3726.0,Purchase
160,37,2023-01-07 15:00:00,1452.0,Bill Payment
161,654,2023-01-07 16:00:00,1663.0,Purchase
162,549,2023-01-07 17:00:00,2512.0,Loan Payment
163,520,2023-01-07 18:00:00,3279.0,Investment
164,743,2023-01-07 19:00:00,291.0,Purchase
165,333,2023-01-07 20:00:00,4991.0,Purchase
166,397,2023-01-07 21:00:00,1034.0,Loan Payment
167,296,2023-01-07 22:00:00,4828.0,Bill Payment
168,107,2023-01-07 23:00:00,3413.0,Bill Payment
169,860,2023-01-08 00:00:00,1245.0,Investment
170,954,2023-01-08 01:00:00,4192.0,Loan Payment
171,530,2023-01-08 02:00:00,4770.0,Bill Payment
172,825,2023-01-08 03:00:00,4967.0,Investment
173,83,2023-01-08 04:00:00,795.0,Investment
174,934,2023-01-08 05:00:00,3327.0,Bill Payment
175,288,2023-01-08 06:00:00,1677.0,Loan Payment
176,982,2023-01-08 07:00:00,3018.0,Purchase
177,706,2023-01-08 08:00:00,3204.0,Bill Payment
178,461,2023-01-08 09:00:00,4799.0,Purchase
179,215,2023-01-08 10:00:00,3785.0,Purchase
180,281,2023-01-08 11:00:00,2456.0,Loan Payment
181,732,2023-01-08 12:00:00,3800.0,Loan Payment
182,954,2023-01-08 13:00:00,543.0,Investment
183,459,2023-01-08 14:00:00,411.0,Loan Payment
184,801,2023-01-08 15:00:00,3673.0,Investment
185,344,2023-01-08 16:00:00,139.0,Bill Payment
186,194,2023-01-08 17:00:00,2349.0,Purchase
187,158,2023-01-08 18:00:00,4381.0,Loan Payment
188,465,2023-01-08 19:00:00,2969.0,Bill Payment
189,104,2023-01-08 20:00:00,1868.0,Investment
190,34,2023-01-08 21:00:00,2983.0,Loan Payment
191,102,2023-01-08 22:00:00,4160.0,Purchase
192,639,2023-01-08 23:00:00,3659.0,Bill Payment
193,726,2023-01-09 00:00:00,2796.0,Loan Payment
194,325,2023-01-09 01:00:00,3107.0,Loan Payment
195,944,2023-01-09 02:00:00,3522.0,Bill Payment
196,808,2023-01-09 03:00:00,4870.0,Investment
197,691,2023-01-09 04:00:00,1230.0,Investment
198,592,2023-01-09 05:00:00,651.0,Loan Payment
199,141,2023-01-09 06:00:00,3324.0,Investment
200,474,2023-01-09 07:00:00,733.0,Investment
201,31,2023-01-09 08:00:00,4907.0,Bill Payment
202,884,2023-01-09 09:00:00,747.0,Investment
203,935,2023-01-09 10:00:00,4863.0,Investment
204,63,2023-01-09 11:00:00,1309.0,Bill Payment
205,560,2023-01-09 12:00:00,3490.0,Loan Payment
206,87,2023-01-09 13:00:00,349.0,Loan Payment
207,304,2023-01-09 14:00:00,162.0,Bill Payment
208,61,2023-01-09 15:00:00,1431.0,Purchase
209,396,2023-01-09 16:00:00,3061.0,Bill Payment
210,334,2023-01-09 17:00:00,436.0,Purchase
211,952,2023-01-09 18:00:00,3568.0,Investment
212,786,2023-01-09 19:00:00,1145.0,Loan Payment
213,411,2023-01-09 20:00:00,2483.0,Purchase
214,284,2023-01-09 21:00:00,3339.0,Purchase
215,466,2023-01-09 22:00:00,959.0,Investment
216,80,2023-01-09 23:00:00,1383.0,Loan Payment
217,692,2023-01-10 00:00:00,966.0,Investment
218,784,2023-01-10 01:00:00,1711.0,Loan Payment
219,77,2023-01-10 02:00:00,2951.0,Loan Payment
220,954,2023-01-10 03:00:00,2492.0,Investment
221,733,2023-01-10 04:00:00,1313.0,Purchase
222,905,2023-01-10 05:00:00,380.0,Bill Payment
223,794,2023-01-10 06:00:00,2990.0,Loan Payment
224,540,2023-01-10 07:00:00,2306.0,Loan Payment
225,361,2023-01-10 08:00:00,4808.0,Bill Payment
226,77,2023-01-10 09:00:00,2135.0,Bill Payment
227,509,2023-01-10 10:00:00,2976.0,Investment
228,164,2023-01-10 11:00:00,4155.0,Loan Payment
229,9,2023-01-10 12:00:00,2752.0,Investment
230,175,2023-01-10 13:00:00,4031.0,Bill Payment
231,462,2023-01-10 14:00:00,2374.0,Investment
232,307,2023-01-10 15:00:00,772.0,Loan Payment
233,588,2023-01-10 16:00:00,4072.0,Purchase
234,245,2023-01-10 17:00:00,1014.0,Purchase
235,122,2023-01-10 18:00:00,3765.0,Loan Payment
236,185,2023-01-10 19:00:00,2856.0,Investment
237,32,2023-01-10 20:00:00,359.0,Bill Payment
238,998,2023-01-10 21:00:00,2974.0,Bill Payment
239,963,2023-01-10 22:00:00,696.0,Purchase
240,762,2023-01-10 23:00:00,4647.0,Investment
241,569,2023-01-11 00:00:00,3136.0,Bill Payment
242,310,2023-01-11 01:00:00,4466.0,Bill Payment
243,372,2023-01-11 02:00:00,2765.0,Loan Payment
244,656,2023-01-11 03:00:00,3534.0,Investment
245,830,2023-01-11 04:00:00,3634.0,Investment
246,596,2023-01-11 05:00:00,2742.0,Bill Payment
247,992,2023-01-11 06:00:00,1703.0,Investment
248,56,2023-01-11 07:00:00,2902.0,Investment
249,791,2023-01-11 08:00:00,3821.0,Investment
250,273,2023-01-11 09:00:00,4190.0,Loan Payment
251,464,2023-01-11 10:00:00,694.0,Bill Payment
252,678,2023-01-11 11:00:00,4350.0,Purchase
253,456,2023-01-11 12:00:00,2929.0,Investment
254,979,2023-01-11 13:00:00,2483.0,Bill Payment
255,670,2023-01-11 14:00:00,3293.0,Purchase
256,249,2023-01-11 15:00:00,4701.0,Loan Payment
257,698,2023-01-11 16:00:00,4036.0,Bill Payment
258,994,2023-01-11 17:00:00,1166.0,Loan Payment
259,78,2023-01-11 18:00:00,3071.0,Bill Payment
260,534,2023-01-11 19:00:00,4455.0,Loan Payment
261,108,2023-01-11 20:00:00,2339.0,Bill Payment
262,273,2023-01-11 21:00:00,1302.0,Loan Payment
263,764,2023-01-11 22:00:00,1894.0,Purchase
264,15,2023-01-11 23:00:00,1570.0,Bill Payment
265,370,2023-01-12 00:00:00,993.0,Purchase
266,304,2023-01-12 01:00:00,2077.0,Investment
267,672,2023-01-12 02:00:00,1873.0,Purchase
268,205,2023-01-12 03:00:00,1989.0,Bill Payment
269,981,2023-01-12 04:00:00,1746.0,Purchase
270,113,2023-01-12 05:00:00,2462.0,Bill Payment
271,680,2023-01-12 06:00:00,1928.0,Loan Payment
272,865,2023-01-12 07:00:00,710.0,Investment
273,253,2023-01-12 08:00:00,2483.0,Purchase
274,441,2023-01-12 09:00:00,2083.0,Investment
275,186,2023-01-12 10:00:00,4671.0,Purchase
276,859,2023-01-12 11:00:00,3763.0,Bill Payment
277,227,2023-01-12 12:00:00,404.0,Purchase
278,528,2023-01-12 13:00:00,1966.0,Investment
279,668,2023-01-12 14:00:00,3058.0,Purchase
280,354,2023-01-12 15:00:00,3462.0,Investment
281,623,2023-01-12 16:00:00,532.0,Investment
282,1,2023-01-12 17:00:00,1572.0,Bill Payment
283,553,2023-01-12 18:00:00,2919.0,Loan Payment
284,560,2023-01-12 19:00:00,2859.0,Loan Payment
285,927,2023-01-12 20:00:00,559.0,Purchase
286,420,2023-01-12 21:00:00,2483.0,Investment
287,620,2023-01-12 22:00:00,842.0,Bill Payment
288,161,2023-01-12 23:00:00,4492.0,Loan Payment
289,161,2023-01-13 00:00:00,2483.0,Bill Payment
290,871,2023-01-13 01:00:00,295.0,Bill Payment
291,128,2023-01-13 02:00:00,2755.0,Investment
292,722,2023-01-13 03:00:00,3775.0,Purchase
293,151,2023-01-13 04:00:00,4474.0,Investment
294,444,2023-01-13 05:00:00,1455.0,Loan Payment
295,767,2023-01-13 06:00:00,1476.0,Loan Payment
296,471,2023-01-13 07:00:00,1786.0,Bill Payment
297,463,2023-01-13 08:00:00,3665.0,Investment
298,730,2023-01-13 09:00:00,924.0,Investment
299,30,2023-01-13 10:00:00,297.0,Bill Payment
300,473,2023-01-13 11:00:00,4200.0,Purchase
301,557,2023-01-13 12:00:00,2098.0,Bill Payment
302,80,2023-01-13 13:00:00,4436.0,Bill Payment
303,39,2023-01-13 14:00:00,1814.0,Loan Payment
304,240,2023-01-13 15:00:00,1188.0,Investment
305,557,2023-01-13 16:00:00,2561.0,Loan Payment
306,590,2023-01-13 17:00:00,4380.0,Bill Payment
307,337,2023-01-13 18:00:00,1598.0,Investment
308,908,2023-01-13 19:00:00,1966.0,Bill Payment
309,861,2023-01-13 20:00:00,1785.0,Bill Payment
310,800,2023-01-13 21:00:00,4872.0,Purchase
311,952,2023-01-13 22:00:00,997.0,Loan Payment
312,280,2023-01-13 23:00:00,1213.0,Loan Payment
313,116,2023-01-14 00:00:00,2483.0,Bill Payment
314,269,2023-01-14 01:00:00,1129.0,Purchase
315,916,2023-01-14 02:00:00,206.0,Bill Payment
316,335,2023-01-14 03:00:00,3985.0,Bill Payment
317,312,2023-01-14 04:00:00,535.0,Bill Payment
318,53,2023-01-14 05:00:00,4737.0,Purchase
319,68,2023-01-14 06:00:00,1420.0,Investment
320,694,2023-01-14 07:00:00,4513.0,Purchase
321,34,2023-01-14 08:00:00,1302.0,Bill Payment
322,796,2023-01-14 09:00:00,1204.0,Investment
323,818,2023-01-14 10:00:00,1958.0,Bill Payment
324,386,2023-01-14 11:00:00,3665.0,Purchase
325,249,2023-01-14 12:00:00,4796.0,Purchase
326,111,2023-01-14 13:00:00,2227.0,Investment
327,94,2023-01-14 14:00:00,4264.0,Purchase
328,410,2023-01-14 15:00:00,3590.0,Bill Payment
329,179,2023-01-14 16:00:00,1027.0,Investment
330,47,2023-01-14 17:00:00,3163.0,Loan Payment
331,794,2023-01-14 18:00:00,3600.0,Bill Payment
332,852,2023-01-14 19:00:00,4217.0,Loan Payment
333,874,2023-01-14 20:00:00,4079.0,Investment
334,604,2023-01-14 21:00:00,57.0,Investment
335,376,2023-01-14 22:00:00,3673.0,Bill Payment
336,724,2023-01-14 23:00:00,4481.0,Purchase
337,587,2023-01-15 00:00:00,837.0,Bill Payment
338,890,2023-01-15 01:00:00,4732.0,Purchase
339,202,2023-01-15 02:00:00,2099.0,Purchase
340,445,2023-01-15 03:00:00,2066.0,Bill Payment
341,919,2023-01-15 04:00:00,828.0,Investment
342,933,2023-01-15 05:00:00,4762.0,Bill Payment
343,297,2023-01-15 06:00:00,3994.0,Loan Payment
344,308,2023-01-15 07:00:00,3690.0,Investment
345,723,2023-01-15 08:00:00,1821.0,Purchase
346,493,2023-01-15 09:00:00,2483.0,Investment
347,338,2023-01-15 10:00:00,3124.0,Bill Payment
348,945,2023-01-15 11:00:00,1639.0,Investment
349,923,2023-01-15 12:00:00,1553.0,Purchase
350,646,2023-01-15 13:00:00,3589.0,Purchase
351,842,2023-01-15 14:00:00,1914.0,Investment
352,66,2023-01-15 15:00:00,1446.0,Loan Payment
353,792,2023-01-15 16:00:00,3327.0,Purchase
354,422,2023-01-15 17:00:00,3530.0,Loan Payment
355,540,2023-01-15 18:00:00,3069.0,Purchase
356,924,2023-01-15 19:00:00,4126.0,Investment
357,629,2023-01-15 20:00:00,1008.0,Purchase
358,493,2023-01-15 21:00:00,1441.0,Loan Payment
359,882,2023-01-15 22:00:00,4562.0,Loan Payment
360,999,2023-01-15 23:00:00,3071.0,Investment
361,962,2023-01-16 00:00:00,274.0,Loan Payment
362,317,2023-01-16 01:00:00,3741.0,Loan Payment
363,942,2023-01-16 02:00:00,2284.0,Investment
364,837,2023-01-16 03:00:00,3885.0,Purchase
365,626,2023-01-16 04:00:00,3327.0,Investment
366,75,2023-01-16 05:00:00,2056.0,Purchase
367,714,2023-01-16 06:00:00,3154.0,Purchase
368,939,2023-01-16 07:00:00,3231.0,Purchase
369,59,2023-01-16 08:00:00,3150.0,Bill Payment
370,386,2023-01-16 09:00:00,4910.0,Purchase
371,15,2023-01-16 10:00:00,2483.0,Investment
372,231,2023-01-16 11:00:00,732.0,Investment
373,617,2023-01-16 12:00:00,93.0,Investment
374,677,2023-01-16 13:00:00,4845.0,Bill Payment
375,199,2023-01-16 14:00:00,3380.0,Loan Payment
376,916,2023-01-16 15:00:00,3829.0,Bill Payment
377,354,2023-01-16 16:00:00,3374.0,Investment
378,35,2023-01-16 17:00:00,1767.0,Investment
379,162,2023-01-16 18:00:00,4328.0,Loan Payment
380,757,2023-01-16 19:00:00,2790.0,Bill Payment
381,982,2023-01-16 20:00:00,3297.0,Investment
382,799,2023-01-16 21:00:00,2462.0,Purchase
383,895,2023-01-16 22:00:00,338.0,Purchase
384,471,2023-01-16 23:00:00,435.0,Investment
385,531,2023-01-17 00:00:00,779.0,Purchase
386,964,2023-01-17 01:00:00,3985.0,Loan Payment
387,792,2023-01-17 02:00:00,617.0,Investment
388,852,2023-01-17 03:00:00,1862.0,Bill Payment
389,423,2023-01-17 04:00:00,2682.0,Investment
390,348,2023-01-17 05:00:00,2134.0,Loan Payment
391,694,2023-01-17 06:00:00,1310.0,Bill Payment
392,935,2023-01-17 07:00:00,475.0,Loan Payment
393,913,2023-01-17 08:00:00,1974.0,Purchase
394,147,2023-01-17 09:00:00,1955.0,Purchase
395,374,2023-01-17 10:00:00,2549.0,Purchase
396,688,2023-01-17 11:00:00,2370.0,Loan Payment
397,675,2023-01-17 12:00:00,2049.0,Loan Payment
398,416,2023-01-17 13:00:00,1194.0,Investment
399,687,2023-01-17 14:00:00,3944.0,Bill Payment
400,494,2023-01-17 15:00:00,3227.0,Bill Payment
401,559,2023-01-17 16:00:00,2792.0,Loan Payment
402,256,2023-01-17 17:00:00,787.0,Loan Payment
403,960,2023-01-17 18:00:00,3389.0,Purchase
404,686,2023-01-17 19:00:00,2428.0,Loan Payment
405,103,2023-01-17 20:00:00,4087.0,Purchase
406,121,2023-01-17 21:00:00,4272.0,Loan Payment
407,419,2023-01-17 22:00:00,2449.0,Bill Payment
408,350,2023-01-17 23:00:00,4841.0,Investment
409,657,2023-01-18 00:00:00,1999.0,Loan Payment
410,42,2023-01-18 01:00:00,1076.0,Purchase
411,367,2023-01-18 02:00:00,954.0,Investment
412,29,2023-01-18 03:00:00,38.0,Purchase
413,966,2023-01-18 04:00:00,1907.0,Purchase
414,892,2023-01-18 05:00:00,1707.0,Investment
415,785,2023-01-18 06:00:00,2824.0,Investment
416,977,2023-01-18 07:00:00,3375.0,Investment
417,14,2023-01-18 08:00:00,2498.0,Loan Payment
418,920,2023-01-18 09:00:00,1675.0,Investment
419,953,2023-01-18 10:00:00,4629.0,Loan Payment
420,818,2023-01-18 11:00:00,1580.0,Bill Payment
421,825,2023-01-18 12:00:00,1743.0,Bill Payment
422,485,2023-01-18 13:00:00,769.0,Purchase
423,189,2023-01-18 14:00:00,2167.0,Purchase
424,872,2023-01-18 15:00:00,1361.0,Loan Payment
425,295,2023-01-18 16:00:00,3486.0,Purchase
426,183,2023-01-18 17:00:00,1278.0,Bill Payment
427,864,2023-01-18 18:00:00,2483.0,Loan Payment
428,548,2023-01-18 19:00:00,3959.0,Loan Payment
429,882,2023-01-18 20:00:00,2617.0,Investment
430,37,2023-01-18 21:00:00,2483.0,Loan Payment
431,14,2023-01-18 22:00:00,2640.0,Purchase
432,923,2023-01-18 23:00:00,2456.0,Bill Payment
433,635,2023-01-19 00:00:00,1679.0,Purchase
434,595,2023-01-19 01:00:00,248.0,Bill Payment
435,159,2023-01-19 02:00:00,3546.0,Investment
436,494,2023-01-19 03:00:00,3871.0,Bill Payment
437,329,2023-01-19 04:00:00,3113.0,Investment
438,614,2023-01-19 05:00:00,1156.0,Purchase
439,849,2023-01-19 06:00:00,1567.0,Investment
440,83,2023-01-19 07:00:00,3748.0,Loan Payment
441,556,2023-01-19 08:00:00,2167.0,Loan Payment
442,580,2023-01-19 09:00:00,3461.0,Bill Payment
443,560,2023-01-19 10:00:00,309.0,Purchase
444,569,2023-01-19 11:00:00,3708.0,Purchase
445,587,2023-01-19 12:00:00,4063.0,Bill Payment
446,22,2023-01-19 13:00:00,4869.0,Loan Payment
447,132,2023-01-19 14:00:00,258.0,Investment
448,465,2023-01-19 15:00:00,2578.0,Bill Payment
449,456,2023-01-19 16:00:00,4139.0,Investment
450,302,2023-01-19 17:00:00,4333.0,Investment
451,955,2023-01-19 18:00:00,4690.0,Purchase
452,930,2023-01-19 19:00:00,2870.0,Loan Payment
453,267,2023-01-19 20:00:00,733.0,Investment
454,799,2023-01-19 21:00:00,579.0,Loan Payment
455,395,2023-01-19 22:00:00,229.0,Purchase
456,120,2023-01-19 23:00:00,1404.0,Bill Payment
457,246,2023-01-20 00:00:00,2844.0,Bill Payment
458,568,2023-01-20 01:00:00,2132.0,Purchase
459,38,2023-01-20 02:00:00,4241.0,Purchase
460,245,2023-01-20 03:00:00,4010.0,Investment
461,21,2023-01-20 04:00:00,4359.0,Purchase
462,110,2023-01-20 05:00:00,3099.0,Bill Payment
463,606,2023-01-20 06:00:00,59.0,Loan Payment
464,394,2023-01-20 07:00:00,524.0,Loan Payment
465,410,2023-01-20 08:00:00,2801.0,Loan Payment
466,987,2023-01-20 09:00:00,2788.0,Loan Payment
467,648,2023-01-20 10:00:00,2628.0,Purchase
468,743,2023-01-20 11:00:00,1847.0,Purchase
469,8,2023-01-20 12:00:00,4681.0,Loan Payment
470,444,2023-01-20 13:00:00,1175.0,Purchase
471,328,2023-01-20 14:00:00,2259.0,Investment
472,887,2023-01-20 15:00:00,424.0,Purchase
473,290,2023-01-20 16:00:00,2278.0,Investment
474,763,2023-01-20 17:00:00,1114.0,Investment
475,511,2023-01-20 18:00:00,4868.0,Purchase
476,912,2023-01-20 19:00:00,4668.0,Loan Payment
477,361,2023-01-20 20:00:00,3366.0,Investment
478,909,2023-01-20 21:00:00,2426.0,Purchase
479,599,2023-01-20 22:00:00,1944.0,Bill Payment
480,716,2023-01-20 23:00:00,213.0,Loan Payment
481,219,2023-01-21 00:00:00,78.0,Bill Payment
482,406,2023-01-21 01:00:00,525.0,Investment
483,992,2023-01-21 02:00:00,3573.0,Bill Payment
484,753,2023-01-21 03:00:00,4466.0,Purchase
485,923,2023-01-21 04:00:00,1474.0,Loan Payment
486,832,2023-01-21 05:00:00,1662.0,Investment
487,770,2023-01-21 06:00:00,716.0,Purchase
488,621,2023-01-21 07:00:00,1635.0,Loan Payment
489,768,2023-01-21 08:00:00,4762.0,Investment
490,993,2023-01-21 09:00:00,3795.0,Investment
491,794,2023-01-21 10:00:00,1355.0,Investment
492,220,2023-01-21 11:00:00,353.0,Investment
493,595,2023-01-21 12:00:00,3796.0,Bill Payment
494,107,2023-01-21 13:00:00,545.0,Bill Payment
495,581,2023-01-21 14:00:00,364.0,Bill Payment
496,609,2023-01-21 15:00:00,3552.0,Investment
497,724,2023-01-21 16:00:00,2483.0,Bill Payment
498,286,2023-01-21 17:00:00,1355.0,Loan Payment
499,749,2023-01-21 18:00:00,3019.0,Investment
500,8,2023-01-21 19:00:00,536.0,Loan Payment
501,806,2023-01-21 20:00:00,940.0,Loan Payment
502,189,2023-01-21 21:00:00,2766.0,Bill Payment
503,81,2023-01-21 22:00:00,2292.0,Investment
504,108,2023-01-21 23:00:00,1956.0,Bill Payment
505,321,2023-01-22 00:00:00,3937.0,Bill Payment
